current;delta;status
3.187;0;0
1.919;2;0
0.062;4;0
0.062;6;0
0.062;8;0
0.062;10;0
3.434;12;0
3.176;14;0
2.718;16;0
0.093;18;0
0.063;20;0
0.062;22;0
0.062;24;0
2.189;26;0
4.14;28;0
3.572;30;0
0.627;32;0
0.061;34;0
0.062;36;0
0.062;38;0
0.689;40;0
4.586;42;0
3.817;44;0
2.243;46;0
0.061;48;0
0.062;50;0
0.061;52;0
0.061;54;0
4.482;56;0
4.193;58;0
3.301;60;0
0.065;62;0
0.061;64;0
0.062;66;0
0.061;68;0
3.099;70;0
5.086;72;0
4.069;74;0
0.411;76;0
0.061;78;0
0.061;80;0
0.058;82;0
1.083;84;0
5.543;86;0
4.734;88;0
2.15;90;0
0.062;92;0
0.059;94;0
0.045;96;0
0.046;98;0
5.126;100;0
4.667;102;0
3.254;104;0
0.062;106;0
0.059;108;0
0.045;110;0
0.046;112;0
3.293;114;0
5.622;116;0
4.529;118;0
0.349;120;0
0.051;122;0
0.045;124;0
0.046;126;0
1.345;128;0
5.79;130;0
5.027;132;0
1.755;134;0
0.059;136;0
0.045;138;0
0.046;140;0
0.118;142;0
5.346;144;0
5.25;146;0
3.394;148;0
0.045;150;0
0.046;152;0
0.045;154;0
0.045;156;0
3.486;158;0
5.68;160;0
4.695;162;0
0.283;164;0
0.057;166;0
0.045;168;0
0.045;170;0
1.461;172;0
6.058;174;0
5.06;176;0
1.722;178;0
0.046;180;0
0.046;182;0
0.045;184;0
0.227;186;0
5.551;188;0
4.944;190;0
3.601;192;0
0.057;194;0
0.045;196;0
0.045;198;0
0.045;200;0
3.924;202;0
5.356;204;0
3.139;206;0
0.045;208;0
0.045;210;0
0.045;212;0
0.045;214;0
4.61;216;0
5.583;218;0
4.114;220;0
0.096;222;0
0.046;224;0
0.045;226;0
0.045;228;0
2.814;230;0
6.138;232;0
5.04;234;0
0.547;236;0
0.045;238;0
0.045;240;0
0.045;242;0
1.056;244;0
6.148;246;0
5.389;248;0
2.671;250;0
0.194;252;0
0.195;254;0
0.195;256;0
0.195;258;0
5.288;260;0
4.921;262;0
3.82;264;0
0.2;266;0
0.194;268;0
0.194;270;0
0.193;272;0
3.128;274;0
4.969;276;0
4.158;278;0
0.54;280;0
0.194;282;0
0.194;284;0
0.194;286;0
1.094;288;0
4.99;290;0
4.213;292;0
1.966;294;0
0.195;296;0
0.194;298;0
0.188;300;0
0.185;302;0
4.181;304;0
4.041;306;0
3.122;308;0
0.188;310;0
0.186;312;0
0.186;314;0
0.186;316;0
3.097;318;0
4.328;320;0
3.61;322;0
0.452;324;0
0.185;326;0
0.186;328;0
0.777;330;0
4.692;332;0
3.995;334;0
2.623;336;0
1.897;338;0
1.663;340;0
1.45;342;0
1.4;344;0
1.434;346;0
1.387;348;0
1.426;350;0
1.132;352;0
0.191;354;0
0.185;356;0
3.577;358;0
3.546;360;0
2.707;362;0
2.207;364;0
1.637;366;0
1.583;368;0
1.36;370;0
1.401;372;0
1.374;374;0
1.377;376;0
1.414;378;0
2.913;380;0
3.163;382;0
2.809;384;0
1.463;386;0
1.691;388;0
1.878;390;0
1.909;392;0
1.81;394;0
1.798;396;0
1.721;398;0
1.865;400;0
1.858;402;0
1.802;404;0
1.795;406;0
1.816;408;0
1.795;410;0
1.516;412;0
0.452;414;0
0.191;416;0
0.186;418;0
0.186;420;0
0.185;422;0
0.186;424;0
0.185;426;0
0.186;428;0
0.186;430;0
0.186;432;0
0.186;434;0
2.062;436;0
2.642;438;0
2.32;440;0
1.767;442;0
1.844;444;0
1.835;446;0
1.816;448;0
1.829;450;0
1.828;452;0
1.861;454;0
1.827;456;0
1.851;458;0
1.865;460;0
1.912;462;0
1.826;464;0
1.583;466;0
1.472;468;0
1.58;470;0
1.524;472;0
1.526;474;0
1.493;476;0
1.535;478;0
1.549;480;0
1.888;482;0
1.878;484;0
1.889;486;0
1.88;488;0
1.905;490;0
1.937;492;0
1.874;494;0
1.882;496;0
1.883;498;0
1.906;500;0
1.934;502;0
1.932;504;0
1.907;506;0
1.9;508;0
1.992;510;0
2.033;512;0
2.067;514;0
2.027;516;0
2.036;518;0
2.036;520;0
2.06;522;0
1.989;524;0
2.031;526;0
2.031;528;0
2.009;530;0
2.084;532;0
1.99;534;0
1.721;536;0
1.68;538;0
1.772;540;0
1.757;542;0
1.724;544;0
1.708;546;0
1.723;548;0
1.705;550;0
1.719;552;0
1.72;554;0
1.693;556;0
1.714;558;0
1.708;560;0
1.698;562;0
1.702;564;0
1.697;566;0
1.697;568;0
1.697;570;0
1.689;572;0
1.701;574;0
1.697;576;0
1.699;578;0
1.694;580;0
1.705;582;0
1.69;584;0
1.687;586;0
1.692;588;0
1.543;590;0
0.243;592;0
0.186;594;0
0.187;596;0
0.187;598;0
0.186;600;0
0.187;602;0
0.187;604;0
0.186;606;0
0.187;608;0
0.186;610;0
0.179;612;0
0.062;614;0
0.062;616;0
0.062;618;0
0.062;620;0
0.062;622;0
0.062;624;0
0.062;626;0
0.062;628;0
0.061;630;0
0.062;632;0
0.062;634;0
0.061;636;0
0.569;638;0
2.331;640;0
1.379;642;0
1.518;644;0
1.517;646;0
1.587;648;0
2.031;650;0
2.058;652;0
1.821;654;0
0.102;656;0
0.062;658;0
0.062;660;0
0.061;662;0
2.973;664;0
2.241;666;0
2.25;668;0
2.261;670;0
2.296;672;0
2.395;674;0
1.697;676;0
0.061;678;0
0.061;680;0
0.729;682;0
3.44;684;0
2.586;686;0
2.519;688;0
2.478;690;0
2.523;692;0
2.528;694;0
2.609;696;0
2.264;698;0
0.096;700;0
0.061;702;0
0.062;704;0
0.061;706;0
3.903;708;0
2.863;710;0
2.914;712;0
2.859;714;0
2.994;716;0
2.9;718;0
1.875;720;0
0.061;722;0
0.061;724;0
0.839;726;0
4.471;728;0
3.187;730;0
3.203;732;0
3.11;734;0
3.287;736;0
3.223;738;0
3.386;740;0
2.687;742;0
0.087;744;0
0.061;746;0
0.061;748;0
2.316;750;0
4.872;752;0
3.52;754;0
3.755;756;0
3.6;758;0
3.704;760;0
3.398;762;0
0.378;764;0
0.046;766;0
0.046;768;0
